# E(eV) abs(cm^-1) abs**2
2.971499880813355254e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.363540892729442344e-02 0.000000000000000000e+00 0.000000000000000000e+00
2.724110285578071333e-02 0.000000000000000000e+00 0.000000000000000000e+00
4.084679678426703098e-02 0.000000000000000000e+00 0.000000000000000000e+00
5.445249071275329311e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.805818464123958300e-02 0.000000000000000000e+00 0.000000000000000000e+00
8.166387856972590065e-02 0.000000000000000000e+00 0.000000000000000000e+00
9.526957249821221829e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.088752664266984804e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.224809603551847981e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.360866542836710602e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.496923482121573779e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.632980421406436400e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.769037360691299576e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.905094299976162753e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.041151239261025929e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.177208178545888551e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.313265117830751172e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.449322057115614348e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.585378996400477525e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.721435935685340701e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.857492874970203878e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.993549814255065944e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.129606753539928565e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.265663692824791742e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.401720632109654918e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.537777571394518095e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.673834510679381271e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.809891449964244448e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.945948389249106514e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.082005328533969690e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.218062267818832867e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.354119207103696043e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.490176146388558109e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.626233085673421286e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.762290024958284462e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.898346964243147639e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.034403903528009705e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.170460842812872881e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.306517782097736058e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.442574721382599234e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.578631660667462411e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.714688599952325587e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.850745539237188764e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.986802478522051940e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.122859417806914006e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.258916357091777183e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.394973296376639249e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.531030235661502426e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.667087174946365602e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.803144114231228778e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.939201053516091955e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.075257992800955131e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.211314932085818308e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.347371871370681484e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.483428810655544661e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.619485749940407837e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.755542689225268793e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.891599628510131970e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.027656567794995146e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.163713507079857212e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.299770446364720389e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.435827385649583565e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.571884324934446742e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.707941264219309918e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.843998203504173095e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.980055142789036271e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.116112082073899447e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.252169021358762624e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.388225960643625800e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.524282899928488977e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.660339839213352153e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.796396778498213109e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.932453717783076286e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.006851065706793946e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.020456759635280264e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.034062453563766582e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.047668147492252899e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.061273841420739217e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.074879535349225534e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.088485229277711630e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.102090923206197948e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.115696617134684265e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.129302311063170583e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.142908004991656901e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.156513698920143218e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.170119392848629536e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.183725086777115854e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.197330780705601949e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.210936474634088267e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.224542168562574584e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.238147862491060902e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.251753556419547220e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.265359250348033537e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.278964944276519855e+00 0.000000000000000000e+00 0.000000000000000000e+00
