# E(eV) abs(cm^-1) abs**2
1.259110285578066146e-02 0.000000000000000000e+00 0.000000000000000000e+00
2.619679678426697911e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.980249071275324124e-02 0.000000000000000000e+00 0.000000000000000000e+00
5.340818464123953113e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.701387856972584878e-02 0.000000000000000000e+00 0.000000000000000000e+00
8.061957249821216642e-02 0.000000000000000000e+00 0.000000000000000000e+00
9.422526642669842856e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.078309603551847462e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.214366542836710083e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.350423482121573260e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.486480421406435881e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.622537360691299058e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.758594299976162234e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.894651239261025411e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.030708178545888032e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.166765117830750653e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.302822057115613830e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.438878996400477006e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.574935935685340183e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.710992874970203359e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.847049814255065425e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.983106753539928047e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.119163692824791223e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.255220632109654399e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.391277571394517576e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.527334510679380752e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.663391449964243929e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.799448389249105995e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.935505328533969172e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.071562267818832348e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.207619207103695524e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.343676146388557591e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.479733085673420767e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.615790024958283944e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.751846964243147120e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.887903903528009186e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.023960842812872363e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.160017782097735539e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.296074721382598716e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.432131660667461892e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.568188599952325069e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.704245539237188245e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.840302478522051421e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.976359417806913488e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.112416357091776664e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.248473296376638730e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.384530235661501907e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.520587174946365083e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.656644114231228260e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.792701053516091436e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.928757992800954613e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.064814932085817789e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.200871871370680966e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.336928810655544142e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.472985749940407318e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.609042689225268274e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.745099628510131451e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.881156567794994627e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.017213507079856694e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.153270446364719870e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.289327385649583047e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.425384324934446223e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.561441264219309399e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.697498203504172576e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.833555142789035752e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.969612082073898929e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.105669021358762105e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.241725960643625282e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.377782899928488458e-01 0.000000000000000000e+00 0.000000000000000000e+00
